Workout Type,Day of the Week,Date,Start Time,End Time,Duration (min),Active Energy (kcal),Avg Heart Rate (bpm),Step Count (count)
Functional Strength Training,Monday,"Monday, May 29, 2023",11:46 AM,1:10 PM,84.28,787.07,140.19,1890
Functional Strength Training,Friday,"Friday, May 26, 2023",11:49 AM,1:19 PM,90.12,598.56,110.08,1827
Functional Strength Training,Thursday,"Thursday, May 25, 2023",11:54 AM,1:20 PM,86.22,657.24,116.43,1700
Functional Strength Training,Wednesday,"Wednesday, May 24, 2023",11:56 AM,1:07 PM,71.27,590.66,121.21,1600
Functional Strength Training,Tuesday,"Tuesday, May 23, 2023",11:45 AM,1:09 PM,84.37,682.81,121.19,1517
Functional Strength Training,Monday,"Monday, May 22, 2023",11:42 AM,1:06 PM,83.63,674.61,124.07,1707
Functional Strength Training,Friday,"Friday, May 19, 2023",11:57 AM,1:09 PM,71.62,500.08,111.05,1448
Functional Strength Training,Thursday,"Thursday, May 18, 2023",11:52 AM,1:17 PM,85.25,656.06,115.56,1709
Functional Strength Training,Wednesday,"Wednesday, May 17, 2023",11:55 AM,1:07 PM,72.25,647.69,133.3,1769
Functional Strength Training,Tuesday,"Tuesday, May 16, 2023",11:53 AM,1:16 PM,83.4,707.63,122.86,1957
Functional Strength Training,Monday,"Monday, May 15, 2023",11:45 AM,1:06 PM,81.42,731.09,130.83,1835
Functional Strength Training,Friday,"Friday, May 12, 2023",12:08 PM,1:29 PM,81.05,570.82,109.76,1846
Functional Strength Training,Thursday,"Thursday, May 11, 2023",11:27 AM,12:45 PM,78.77,587.01,111.2,2028
Functional Strength Training,Wednesday,"Wednesday, May 10, 2023",11:57 AM,1:03 PM,65.38,566.99,121.89,793
Functional Strength Training,Tuesday,"Tuesday, May 9, 2023",10:58 AM,12:37 PM,99.65,779.15,110.11,1776
Functional Strength Training,Monday,"Monday, May 8, 2023",11:34 AM,12:59 PM,84.95,677.61,114.18,2104
Functional Strength Training,Wednesday,"Wednesday, April 26, 2023",11:35 AM,12:49 PM,74.07,554.87,114.16,1712
Functional Strength Training,Tuesday,"Tuesday, April 25, 2023",11:38 AM,1:09 PM,90.75,728.3,121.97,1715
Functional Strength Training,Monday,"Monday, April 24, 2023",11:39 AM,1:06 PM,86.67,682.44,126.2,1730
Functional Strength Training,Friday,"Friday, April 21, 2023",11:37 AM,12:58 PM,81.52,565.66,117.63,1780
Functional Strength Training,Thursday,"Thursday, April 20, 2023",11:39 AM,1:19 PM,100.15,709.28,111.67,1720
Functional Strength Training,Wednesday,"Wednesday, April 19, 2023",11:41 AM,12:53 PM,71.77,621.33,126.56,1520
Functional Strength Training,Tuesday,"Tuesday, April 18, 2023",11:37 AM,1:04 PM,87.55,716.6,123.99,1475
Functional Strength Training,Monday,"Monday, April 17, 2023",11:33 AM,12:57 PM,84.15,711.32,121.36,1512
Functional Strength Training,Friday,"Friday, April 14, 2023",11:42 AM,1:09 PM,87.33,531.55,122.2,1757
Hiking,Tuesday,"Tuesday, April 11, 2023",9:52 AM,12:23 PM,151.1,554.32,144.98,10309
Hiking,Tuesday,"Tuesday, April 11, 2023",7:51 AM,8:27 AM,36.03,112.06,157.19,798
Hiking,Tuesday,"Tuesday, April 11, 2023",6:36 AM,7:21 AM,45.57,297.39,160.86,3108
Functional Strength Training,Thursday,"Thursday, April 6, 2023",11:38 AM,12:57 PM,78.58,465.23,124.54,1361
Functional Strength Training,Wednesday,"Wednesday, April 5, 2023",11:32 AM,1:29 PM,117.18,636.78,119.09,2280
Functional Strength Training,Tuesday,"Tuesday, April 4, 2023",11:46 AM,1:14 PM,88.25,500.55,118.15,1204
Running,Monday,"Monday, April 3, 2023",1:04 PM,1:07 PM,2.83,6.03,125.19,92
Functional Strength Training,Monday,"Monday, April 3, 2023",11:39 AM,1:04 PM,84.48,515.7,127.43,1466
Functional Strength Training,Friday,"Friday, March 31, 2023",11:08 AM,12:39 PM,71.43,382.09,112.84,1377
Functional Strength Training,Thursday,"Thursday, March 30, 2023",11:49 AM,1:11 PM,81.87,465.61,124.35,1231
Functional Strength Training,Wednesday,"Wednesday, March 29, 2023",11:57 AM,1:11 PM,73.93,442.53,122.75,1461
Functional Strength Training,Tuesday,"Tuesday, March 28, 2023",11:50 AM,1:24 PM,93.58,508.33,116.67,1276
Functional Strength Training,Monday,"Monday, March 27, 2023",11:39 AM,1:11 PM,91.95,580.22,128.68,1702
Functional Strength Training,Friday,"Friday, March 24, 2023",11:32 AM,1:00 PM,87.82,442.99,118.45,1742
Functional Strength Training,Thursday,"Thursday, March 23, 2023",11:31 AM,1:00 PM,89.05,446.54,111.07,1925
Functional Strength Training,Wednesday,"Wednesday, March 22, 2023",11:56 AM,1:12 PM,76.52,461.03,124.83,1668
Functional Strength Training,Tuesday,"Tuesday, March 21, 2023",11:41 AM,1:06 PM,85.33,548.82,128.17,1311
Functional Strength Training,Monday,"Monday, March 20, 2023",11:38 AM,1:10 PM,91.52,563.19,129.72,1465
Functional Strength Training,Friday,"Friday, March 17, 2023",11:49 AM,1:17 PM,88,442.89,117.99,1864
Functional Strength Training,Thursday,"Thursday, March 16, 2023",11:35 AM,1:01 PM,85.38,429.19,111.75,1676
Functional Strength Training,Wednesday,"Wednesday, March 15, 2023",11:46 AM,1:05 PM,79.27,494.36,124.27,1166
Functional Strength Training,Tuesday,"Tuesday, March 14, 2023",11:47 AM,1:16 PM,89.43,551.6,122.63,1778
Functional Strength Training,Monday,"Monday, March 13, 2023",11:39 AM,1:08 PM,88.5,558.6,131.31,1755
Functional Strength Training,Friday,"Friday, March 10, 2023",11:43 AM,1:11 PM,87.62,429.52,110.35,1672
Functional Strength Training,Thursday,"Thursday, March 9, 2023",11:28 AM,12:45 PM,77.6,454.68,118.68,1571
Functional Strength Training,Wednesday,"Wednesday, March 8, 2023",11:45 AM,1:04 PM,79.2,509,126.87,1606
Functional Strength Training,Tuesday,"Tuesday, March 7, 2023",11:33 AM,12:48 PM,74.85,451.85,119.45,1453
Functional Strength Training,Monday,"Monday, March 6, 2023",11:30 AM,12:54 PM,84.03,480.43,119.11,1855
Functional Strength Training,Friday,"Friday, March 3, 2023",11:27 AM,12:53 PM,86.7,441.63,110.85,1690
Functional Strength Training,Thursday,"Thursday, March 2, 2023",11:27 AM,12:42 PM,74.93,444.2,119.13,1337
Functional Strength Training,Wednesday,"Wednesday, March 1, 2023",11:27 AM,12:41 PM,73.97,505.71,130.18,1595
Functional Strength Training,Tuesday,"Tuesday, February 28, 2023",11:27 AM,12:46 PM,78.92,503.67,122.4,1525
Functional Strength Training,Monday,"Monday, February 27, 2023",11:19 AM,12:35 PM,75.73,511.18,131.43,1078
Walking,Saturday,"Saturday, February 25, 2023",11:16 AM,12:12 PM,56.53,164.83,103.38,3887
Functional Strength Training,Friday,"Friday, February 24, 2023",11:26 AM,12:52 PM,86.33,533.67,129.39,1754
